,Unnamed: 0,image_link,group_id,entity_name,entity_value,tesseract_output
0,98467,https://m.media-amazon.com/images/I/71c7OUcucTL.jpg,529606,item_weight,567 gram," 
"
1,116348,https://m.media-amazon.com/images/I/81KcClrXxaL.jpg,211213,item_weight,1.0 kilogram,"6 Auto Cook Menus

From popcorn to pasta, these pre-set menus }
make heating your favourite foods easier than ever

 

 

N

RICE VEGETABLES

eX EX

ath POPCORN BEVERAGE:

a

tals g

a5
ee aus

“eager” Opdsee, Por
Niet ager ia BTU

 
"
2,109788,https://m.media-amazon.com/images/I/7194z1PyexL.jpg,297918,item_weight,1.41 ounce," 

- ra \ Wa

 
"
3,109254,https://m.media-amazon.com/images/I/51NNyPYohuL.jpg,523149,item_weight,2.2 gram," 

Be: #4)2.2g

 

ER: RIDAFLIMNE, SARA, BEI AE!
"
4,96686,https://m.media-amazon.com/images/I/51K8zUa5T1L.jpg,658003,item_weight,62.0 gram,"Peso Netto (g): 62,00

H - Altezza (mm): 24,00

di - Diametro esterno (mm): 215,00

 
"
5,89614,https://m.media-amazon.com/images/I/61EJ30GOtoL.jpg,630869,item_weight,16.0 gram,"316L Stainless Steel
Weight : 16g
High Polished Surface

 
"
6,66970,https://m.media-amazon.com/images/I/51Vhbg7qFDL.jpg,630869,item_weight,12.0 gram,"5mm/(0.2”)

 

 

Material:Stainless steel

Weight:12g

 
"
7,2417,https://m.media-amazon.com/images/I/71QBpM5AjbL.jpg,929999,item_weight,330.0 gram," 
"
8,105875,https://m.media-amazon.com/images/I/71NqdfoTJyL.jpg,375816,item_weight,2.0 gram," 
"
9,59181,https://m.media-amazon.com/images/I/81W+p-AC2BL.jpg,810266,item_weight,20.0 ounce,"——
DIRECTIONS FOR USE

   
 
  

Anytime you have that “Fu k Around And Find Out”
feeling from a Bich. Hoe, or Thot, simply stand back
and spray that bi ch in the face until they are gone.
The crisp fu k off scent will linger long after that bi ch
be gone.

NOT FOR USE ON CHILDREN: Having issues with
Hn eeu) Saal Un COLO r=) RUC A) Fo ele (6

| something stronger? Keep watch for our new
get stitches’ line of portable cleaning items.

   
  

Bi ches *Hoes*Thots*Karens*Sluts*Wenches*Skanks
Dumbasses*Pricks*Di_ks*Assholes*Scumbags.
Douch Canoes*Thundercunts*Twatwaffles*Sh t heads
Micro-managing Bosses*Lazy-ass Supervisors*
Annoying Customers*Petty Exes*Narcissists* Snobs

MN In eons
Pepper, Eye ro
GTFO 420, Re ‘no

r 99.9% oo

 

    
   

 

DONT TRY ME |
SPRAY

  

(@1)95012345678903 (3103) 000123 wr

 
"
10,29299,https://m.media-amazon.com/images/I/614QuN-aYCL.jpg,881883,item_weight,230.0 gram,"    

Woven in three layers

   

Be Furl He Rte ol \tacce
a te ese YA
"
11,128939,https://m.media-amazon.com/images/I/71Zs4fOVa1L.jpg,654649,item_weight,2.4 gram,"Ve) era a -yat)=16 A MOMENTO AO

ea — aS | 4 ;
Yr il a
: DUAL CONTROL
MODE

    

Pra ogee ole
APP REMOTE CONTROL MODE
"
12,109810,https://m.media-amazon.com/images/I/81zm1GVN6wL.jpg,558374,item_weight,19.7 ounce,"aD*® LOLiiece

oO MACIZO ACIDUVADG

a f
we A

FLAVORS: pi
; EACH Anr
SABORES. DURAZNNO” NEAL

 
 
 
    
   
  
 

yy

ol Was

wae SeTECee x: ALETAS 5
paw Sew

LIETE CHICKEN, &

Rian FP \

POELITQ@ASADO %

a

  

MADE IN MEXICO,
HECHO|ENIMEZIC Oe
"
13,20579,https://m.media-amazon.com/images/I/61-6Pa3DUlL.jpg,801837,item_weight,"[25.0, 35.0] kilogram","XL
XXL
XXXL

Geeignete Hohe

120-145cm

155-168cm

170-175cm

175-180cm

180-185cm

185-195cm

 

Geeignete Gewicht
25-35kg
45-60kg
60-70kg
70-80kg
80-90kg

90-110kg
"
